DATAFLOW,LAST UPDATE,freq,unit,deg_urb,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:LFST_R_URGAU(1.0),14/12/23 23:00:00,A,PC,DEG1,Y15-19,T,AT,2003,12.5,u
ESTAT:LFST_R_URGAU(1.0),14/12/23 23:00:00,A,PC,DEG1,Y15-19,T,AT,2004,26.1,b
ESTAT:LFST_R_URGAU(1.0),14/12/23 23:00:00,A,PC,DEG1,Y15-19,T,AT,2005,22.8,b
ESTAT:LFST_R_URGAU(1.0),14/12/23 23:00:00,A,PC,DEG1,Y15-19,T,AT,2006,21.7,
ESTAT:LFST_R_URGAU(1.0),14/12/23 23:00:00,A,PC,DEG1,Y15-19,T,AT,2007,19.9,b
ESTAT:LFST_R_URGAU(1.0),14/12/23 23:00:00,A,PC,DEG1,Y15-19,T,AT,2008,20.6,
ESTAT:LFST_R_URGAU(1.0),14/12/23 23:00:00,A,PC,DEG1,Y15-19,T,AT,2009,21.1,
ESTAT:LFST_R_URGAU(1.0),14/12/23 23:00:00,A,PC,DEG1,Y15-19,T,AT,2010,17.7,
ESTAT:LFST_R_URGAU(1.0),14/12/23 23:00:00,A,PC,DEG1,Y15-19,T,AT,2011,22.7,
ESTAT:LFST_R_URGAU(1.0),14/12/23 23:00:00,A,PC,DEG1,Y15-19,T,AT,2012,21.0,b
ESTAT:LFST_R_URGAU(1.0),14/12/23 23:00:00,A,PC,DEG1,Y15-19,T,AT,2013,20.4,
ESTAT:LFST_R_URGAU(1.0),14/12/23 23:00:00,A,PC,DEG1,Y15-19,T,AT,2014,21.3,
ESTAT:LFST_R_URGAU(1.0),14/12/23 23:00:00,A,PC,DEG1,Y15-19,T,AT,2015,21.4,
ESTAT:LFST_R_URGAU(1.0),14/12/23 23:00:00,A,PC,DEG1,Y15-19,T,AT,2016,25.9,
ESTAT:LFST_R_URGAU(1.0),14/12/23 23:00:00,A,PC,DEG1,Y15-19,T,AT,2017,23.1,
ESTAT:LFST_R_URGAU(1.0),14/12/23 23:00:00,A,PC,DEG1,Y15-19,T,AT,2018,21.1,
ESTAT:LFST_R_URGAU(1.0),14/12/23 23:00:00,A,PC,DEG1,Y15-19,T,AT,2019,20.8,
ESTAT:LFST_R_URGAU(1.0),14/12/23 23:00:00,A,PC,DEG1,Y15-19,T,AT,2020,16.6,u
ESTAT:LFST_R_URGAU(1.0),14/12/23 23:00:00,A,PC,DEG1,Y15-19,T,AT,2021,24.3,b
ESTAT:LFST_R_URGAU(1.0),14/12/23 23:00:00,A,PC,DEG1,Y15-19,T,AT,2022,22.7,
ESTAT:LFST_R_URGAU(1.0),14/12/23 23:00:00,A,PC,DEG1,Y15-19,T,BE,2003,36.6,u
ESTAT:LFST_R_URGAU(1.0),14/12/23 23:00:00,A,PC,DEG1,Y15-19,T,BE,2004,31.0,u
ESTAT:LFST_R_URGAU(1.0),14/12/23 23:00:00,A,PC,DEG1,Y15-19,T,BE,2005,30.7,b
ESTAT:LFST_R_URGAU(1.0),14/12/23 23:00:00,A,PC,DEG1,Y15-19,T,BE,2006,34.5,
ESTAT:LFST_R_URGAU(1.0),14/12/23 23:00:00,A,PC,DEG1,Y15-19,T,BE,2007,33.9,
ESTAT:LFST_R_URGAU(1.0),14/12/23 23:00:00,A,PC,DEG1,Y15-19,T,BE,2008,26.6,
