DATAFLOW,LAST UPDATE,freq,unit,deg_urb,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:LFST_R_URGAU(1.0),14/12/23 23:00:00,A,PC,DEG1,Y15-74,T,AT,2003,6.7,
ESTAT:LFST_R_URGAU(1.0),14/12/23 23:00:00,A,PC,DEG1,Y15-74,T,AT,2004,8.5,b
ESTAT:LFST_R_URGAU(1.0),14/12/23 23:00:00,A,PC,DEG1,Y15-74,T,AT,2005,8.0,b
ESTAT:LFST_R_URGAU(1.0),14/12/23 23:00:00,A,PC,DEG1,Y15-74,T,AT,2006,7.9,
ESTAT:LFST_R_URGAU(1.0),14/12/23 23:00:00,A,PC,DEG1,Y15-74,T,AT,2007,7.5,b
ESTAT:LFST_R_URGAU(1.0),14/12/23 23:00:00,A,PC,DEG1,Y15-74,T,AT,2008,6.1,
ESTAT:LFST_R_URGAU(1.0),14/12/23 23:00:00,A,PC,DEG1,Y15-74,T,AT,2009,7.8,
ESTAT:LFST_R_URGAU(1.0),14/12/23 23:00:00,A,PC,DEG1,Y15-74,T,AT,2010,7.3,
ESTAT:LFST_R_URGAU(1.0),14/12/23 23:00:00,A,PC,DEG1,Y15-74,T,AT,2011,6.6,
ESTAT:LFST_R_URGAU(1.0),14/12/23 23:00:00,A,PC,DEG1,Y15-74,T,AT,2012,7.8,b
ESTAT:LFST_R_URGAU(1.0),14/12/23 23:00:00,A,PC,DEG1,Y15-74,T,AT,2013,8.5,
ESTAT:LFST_R_URGAU(1.0),14/12/23 23:00:00,A,PC,DEG1,Y15-74,T,AT,2014,9.4,
ESTAT:LFST_R_URGAU(1.0),14/12/23 23:00:00,A,PC,DEG1,Y15-74,T,AT,2015,9.4,
ESTAT:LFST_R_URGAU(1.0),14/12/23 23:00:00,A,PC,DEG1,Y15-74,T,AT,2016,10.1,
ESTAT:LFST_R_URGAU(1.0),14/12/23 23:00:00,A,PC,DEG1,Y15-74,T,AT,2017,9.3,
ESTAT:LFST_R_URGAU(1.0),14/12/23 23:00:00,A,PC,DEG1,Y15-74,T,AT,2018,8.8,
ESTAT:LFST_R_URGAU(1.0),14/12/23 23:00:00,A,PC,DEG1,Y15-74,T,AT,2019,8.1,
ESTAT:LFST_R_URGAU(1.0),14/12/23 23:00:00,A,PC,DEG1,Y15-74,T,AT,2020,9.5,
ESTAT:LFST_R_URGAU(1.0),14/12/23 23:00:00,A,PC,DEG1,Y15-74,T,AT,2021,10.4,b
ESTAT:LFST_R_URGAU(1.0),14/12/23 23:00:00,A,PC,DEG1,Y15-74,T,AT,2022,8.1,
ESTAT:LFST_R_URGAU(1.0),14/12/23 23:00:00,A,PC,DEG1,Y15-74,T,BE,2003,9.9,
ESTAT:LFST_R_URGAU(1.0),14/12/23 23:00:00,A,PC,DEG1,Y15-74,T,BE,2004,9.4,
ESTAT:LFST_R_URGAU(1.0),14/12/23 23:00:00,A,PC,DEG1,Y15-74,T,BE,2005,10.5,b
ESTAT:LFST_R_URGAU(1.0),14/12/23 23:00:00,A,PC,DEG1,Y15-74,T,BE,2006,10.4,
ESTAT:LFST_R_URGAU(1.0),14/12/23 23:00:00,A,PC,DEG1,Y15-74,T,BE,2007,9.4,
ESTAT:LFST_R_URGAU(1.0),14/12/23 23:00:00,A,PC,DEG1,Y15-74,T,BE,2008,9.1,
ESTAT:LFST_R_URGAU(1.0),14/12/23 23:00:00,A,PC,DEG1,Y15-74,T,BE,2009,10.2,
ESTAT:LFST_R_URGAU(1.0),14/12/23 23:00:00,A,PC,DEG1,Y15-74,T,BE,2010,10.7,
ESTAT:LFST_R_URGAU(1.0),14/12/23 23:00:00,A,PC,DEG1,Y15-74,T,BE,2011,9.6,b
ESTAT:LFST_R_URGAU(1.0),14/12/23 23:00:00,A,PC,DEG1,Y15-74,T,BE,2012,13.4,b
ESTAT:LFST_R_URGAU(1.0),14/12/23 23:00:00,A,PC,DEG1,Y15-74,T,BE,2013,14.5,
ESTAT:LFST_R_URGAU(1.0),14/12/23 23:00:00,A,PC,DEG1,Y15-74,T,BE,2014,14.2,
